filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
AUS,Aufgenommen (Sept 2021),224.0,244.0,,,1.0,yes,no,no,<aus>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUS_trimmed.mp4,AUS
AUS(-Ort),ok,212.0,230.0,,,1.0,no,no,no,<aus>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUS(-Ort).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUS(-Ort)_trimmed.mp4,AUS(-Ort)
AUS2,Aufgenommen (Sept 2021),222.0,243.0,,,2.0,no,no,no,<aus>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUS2.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUS2_trimmed.mp4,AUS2
AUSBLENDEN,Aufgenommen 29.09.22,181.0,198.0,,,1.0,yes,no,no,<aus>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUSBLENDEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUSBLENDEN_trimmed.mp4,AUSBLENDEN
AUSFALLEN,"Aufgenommen (Sept 2021)
Wiederholen (Feb 2023)!!!",198.0,232.0,,,2.0,yes,no,no,<ausfall>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUSFALLEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUSFALLEN_trimmed.mp4,AUSFALLEN
AUSGANG,"Aufgenommen 21.06.22
Wiederholen (Feb 2023)!!!",232.0,261.0,,,1.0,yes,no,no,<ausgang>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUSGANG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUSGANG_trimmed.mp4,AUSGANG
AUSMASS,Aufgenommen 29.09.22,202.0,254.0,,,2.0,yes,no,no,<wie-gross>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUSMASS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUSMASS_trimmed.mp4,AUSMASS
AUSSEHEN,Aufgenommen 29.09.22,291.0,324.0,,,1.0,no,yes,no,<wie-sieht-aus>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUSSEHEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUSSEHEN_trimmed.mp4,AUSSEHEN
AUSSTEIGEN,"Neu aufgenommen am 30.03.22, Video da!!!
---
Wenn, neue Referenzvideo da ist, dann alle Annotationsdaten überprüfen!!! NOVA-Annotation prüfen/korrigieren: Nicht-dom-hand: Entspannt?! eingeben! Satz 40.
---
Alte Gebärde vom September 2021 aufgenommen.",198.0,247.0,,,2.0,yes,no,no,<aussteigen>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUSSTEIGEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUSSTEIGEN_trimmed.mp4,AUSSTEIGEN
AUSWEIS,"Aufgenommen (Dez 2021)
Wiederholen (Feb 2023)!!!",230.0,264.0,,,1.0,no,no,no,<ausweis>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUSWEIS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUSWEIS_trimmed.mp4,AUSWEIS
AUTOMATIKTUER,Aufgenommen 29.09.22,213.0,250.0,,,2.0,no,no,yes,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUTOMATIKTUER.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUTOMATIKTUER_trimmed.mp4,AUTOMATIKTUER
BADEN-BADEN,Aufgenommen (Feb 2023),240.0,295.0,,Ort,2.0,no,yes,no,<baden baden>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BADEN-BADEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BADEN-BADEN_trimmed.mp4,BADEN-BADEN
BAHNHOF,Aufgenommen 21.06.22,183.0,217.0,,,1.0,no,no,no,<bahnhof>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BAHNHOF.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BAHNHOF_trimmed.mp4,BAHNHOF
BAHNUEBERGANG,Aufgenommen (Sept 2021),217.0,263.0,,,2.0,no,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BAHNUEBERGANG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BAHNUEBERGANG_trimmed.mp4,BAHNUEBERGANG
BAMBERG,Aufgenommen (Feb 2023),198.0,243.0,,Ort,1.0,no,no,no,<bamberg>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=BAMBERG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_BAMBERG_trimmed.mp4,BAMBERG
